0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	1
35	0
36	0
37	0
38	1
39	1
40	1
41	2
42	1
43	5
44	27
45	109
46	164
47	220
48	237
49	192
50	182
51	188
52	166
53	135
54	126
55	112
56	114
57	101
58	92
59	156
60	119
61	118
62	120
63	118
64	115
65	109
66	99
67	120
68	106
69	102
70	106
71	119
72	109
73	129
74	99
75	107
76	107
77	126
78	117
79	81
80	104
81	99
82	99
83	123
84	104
85	96
86	111
87	97
88	106
89	110
90	111
91	101
92	103
93	106
94	93
95	104
96	95
97	97
98	87
99	121
100	105
101	92
102	87
103	98
104	120
105	99
106	100
107	88
108	100
109	112
110	96
111	110
112	96
113	90
114	122
115	89
116	106
117	99
118	97
119	111
120	95
121	87
122	113
123	107
124	120
125	133
126	105
127	112
128	123
129	106
130	113
131	110
132	108
133	99
134	97
135	105
136	112
137	99
138	111
139	145
140	113
141	108
142	128
143	118
144	135
145	127
146	126
147	105
148	126
149	119
150	141
151	114
152	121
153	125
154	117
155	120
156	124
157	135
158	121
159	129
160	123
161	114
162	129
163	117
164	125
165	131
166	141
167	118
168	138
169	122
170	133
171	150
172	135
173	134
174	135
175	131
176	128
177	133
178	128
179	126
180	140
181	121
182	144
183	143
184	153
185	132
186	151
187	131
188	147
189	148
190	126
191	135
192	146
193	137
194	147
195	160
196	155
197	170
198	161
199	169
200	163
201	159
202	156
203	170
204	162
205	140
206	149
207	162
208	143
209	150
210	162
211	163
212	174
213	154
214	178
215	176
216	151
217	169
218	160
219	173
220	153
221	172
222	164
223	202
224	169
225	178
226	175
227	182
228	174
229	204
230	194
231	219
232	196
233	180
234	195
235	202
236	200
237	206
238	197
239	191
240	238
241	202
242	196
243	213
244	207
245	206
246	204
247	203
248	218
249	226
250	220
251	256
252	194
253	222
254	239
255	199
256	210
257	217
258	226
259	228
260	211
261	223
262	219
263	207
264	226
265	204
266	197
267	183
268	206
269	205
270	206
271	202
272	218
273	204
274	220
275	212
276	218
277	218
278	192
279	188
280	211
281	185
282	199
283	222
284	210
285	204
286	222
287	182
288	186
289	196
290	229
291	208
292	184
293	217
294	210
295	219
296	191
297	187
298	190
299	176
300	213
301	201
302	203
303	201
304	211
305	188
306	195
307	197
308	177
309	198
310	193
311	169
312	188
313	164
314	173
315	203
316	192
317	195
318	178
319	189
320	176
321	183
322	184
323	190
324	198
325	180
326	156
327	170
328	188
329	185
330	190
331	192
332	176
333	151
334	199
335	164
336	205
337	171
338	174
339	196
340	172
341	190
342	169
343	205
344	207
345	166
346	183
347	181
348	197
349	184
350	185
351	207
352	182
353	189
354	175
355	160
356	177
357	212
358	197
359	184
360	224
361	178
362	185
363	190
364	175
365	170
366	175
367	179
368	195
369	169
370	188
371	186
372	199
373	195
374	181
375	151
376	203
377	218
378	172
379	175
380	154
381	200
382	201
383	189
384	166
385	185
386	177
387	165
388	167
389	186
390	175
391	211
392	179
393	163
394	169
395	185
396	173
397	160
398	170
399	188
400	186
401	181
402	180
403	172
404	182
405	172
406	187
407	173
408	186
409	195
410	190
411	181
412	164
413	212
414	174
415	195
416	183
417	205
418	172
419	177
420	195
421	170
422	171
423	185
424	213
425	172
426	169
427	196
428	173
429	174
430	199
431	185
432	177
433	197
434	187
435	175
436	194
437	170
438	172
439	217
440	203
441	190
442	192
443	185
444	193
445	177
446	165
447	184
448	168
449	194
450	193
451	175
452	175
453	168
454	164
455	182
456	161
457	184
458	179
459	160
460	163
461	141
462	174
463	147
464	176
465	172
466	177
467	166
468	168
469	163
470	169
471	177
472	194
473	161
474	176
475	178
476	180
477	180
478	182
479	154
480	162
481	200
482	190
483	168
484	178
485	166
486	184
487	168
488	185
489	179
490	165
491	171
492	168
493	153
494	165
495	166
496	173
497	149
498	174
499	160
500	179
501	167
502	153
503	176
504	164
505	162
506	153
507	192
508	198
509	183
510	162
511	172
512	157
513	148
514	173
515	146
516	194
517	193
518	167
519	146
520	170
521	180
522	151
523	172
524	156
525	179
526	153
527	184
528	173
529	159
530	144
531	168
532	184
533	151
